Brand,Model,Generation,Spec-model,Acceleration 0-100 km/h,1/4tb mile ET
Fiat,Tipo,"Tipo (358, facelift 2020) Wagon",10.1 sec ,16.706,
Fiat,Tipo,"Tipo (358, facelift 2020) Wagon",9.2 sec ,16.601,
Fiat,Tipo,"Tipo (358, facelift 2020) Wagon",13.5 sec ,18.184,
Fiat,Tipo,"Tipo (358, facelift 2020) Wagon",12.0 sec ,17.688,
Fiat,Fullback,Fullback Extended Cab,17.211,,
Fiat,Fullback,Fullback Extended Cab,16.441,,
Fiat,Fullback,Fullback Extended Cab,16.387,,
Fiat,Fullback,Fullback Extended Cab,17.211,,
Ferrari,348,348 Spider,5.4 sec ,12.328,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),11 sec ,17.452,
Fiat,Regata,Regata (138),15 sec ,16.911,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),12 sec ,17.405,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),13.5 sec ,17.962,
Fiat,Regata,Regata (138),18.9 sec ,18.401,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),10 sec ,16,
Fiat,Regata,Regata (138),not known,,
Fiat,Regata,Regata (138),not known,,
Fiat,Siena,Siena (178),14.8 sec ,18.613,
Fiat,Siena,Siena (178),14.8 sec ,18.902,
Fiat,Siena,Siena (178),10.2 sec ,16.495,
Fiat,Siena,Siena (178),11.5 sec ,17.308,
Fiat,Siena,Siena (178),12.9 sec ,18.444,
Fiat,Siena,Siena (178),10.2 sec ,16.601,
Fiat,Siena,Siena (178),12.6 sec ,17.826,
Fiat,Siena,Siena (178),14.9 sec ,18.529,
Fiat,Siena,Siena (178),17 sec ,19.183,
Fiat,Egea,"Egea Hatchback (357, facelift 2020)",9.8 sec ,16.495,
Fiat,Egea,"Egea Hatchback (357, facelift 2020)",12.4 sec ,17.688,
Fiat,Egea,"Egea Hatchback (357, facelift 2020)",13.3 sec ,18.096,
Fiat,Egea,"Egea Hatchback (357, facelift 2020)",11.8 sec ,17.547,
Fiat,Fiorino,Fiorino Qubo,not known,,
Fiat,Fiorino,Fiorino Qubo,19.417,,
Fiat,500,500X,15.35,,
Fiat,500,500X,15.099,,
Fiat,500,500X,9.8 sec ,16.706,
Fiat,500,500X,11.5 sec ,not known,
Fiat,500,500X,10.5 sec ,16.86,
Fiat,500,500X,9.8 sec ,not known,
Fiat,500,500X,9.8 sec ,not known,
Fiat,500,500X,9.8 sec ,16,
Fiat,500,500X,10.5 sec ,not known,
Fiat,500,500X,12.9 sec ,not known,
Fiat,Barchetta,Barchetta (183),8.9 sec ,15.288,
Ferrari,365,365 GTB4 (Daytona),11.619,,
Fiat,Pulse,Pulse,17.357,,
Fiat,Pulse,Pulse,17.112,,
Fiat,Pulse,Pulse,16.495,,
Fiat,Stilo,Stilo Multi Wagon (facelift 2003),10 sec ,16.441,
Fiat,Stilo,Stilo Multi Wagon (facelift 2003),11.4 sec ,17.641,
Fiat,Stilo,Stilo Multi Wagon (facelift 2003),13 sec ,17.826,
Ferrari,575M Maranello,575M Maranello,4.2 sec ,11.287,
Ferrari,575M Maranello,575M Maranello,4.2 sec ,11.4,
Ferrari,Berlinetta Boxer,512 BB,12.423,,
Ferrari,Berlinetta Boxer,512 BB,not known,,
Fiat,X 1/9,X 1/9 (128 AS),11.7 sec ,not known,
Fiat,X 1/9,X 1/9 (128 AS),not known,,
Fiat,X 1/9,X 1/9 (128 AS),not known,,
Fiat,X 1/9,X 1/9 (128 AS),not known,,
Fiat,128,128 Familiare,not known,,
Fiat,128,128 Familiare,not known,,
Fiat,128,128 Familiare,not known,,
Fiat,Tipo,Tipo Cross Wagon,10.9 sec ,16.809,
Fiat,Tipo,Tipo Cross Wagon,9.4 sec ,16.653,
Fiat,Tipo,Tipo Cross Wagon,12.2 sec ,17.78,
Ferrari,812,812 Competizione,2.85 sec ,9.222,
Fiat,Panda,"Panda (ZAF 141, facelift 1986)",23 sec ,20.51,
Fiat,Panda,"Panda (ZAF 141, facelift 1986)",17.5 sec ,19.023,
Fiat,Panda,"Panda (ZAF 141, facelift 1986)",16 sec ,18.697,
Fiat,Panda,"Panda (ZAF 141, facelift 1986)",not known,,
Ferrari,Portofino,Portofino,3.5 sec ,10.425,
Ferrari,F355,F355 GTS,4.7 sec ,11.83,
Fiat,500,500L Living/Wagon,10.9 sec ,17.308,
Fiat,500,500L Living/Wagon,10.9 sec ,17.211,
Fiat,500,500L Living/Wagon,12 sec ,18.096,
Fiat,500,500L Living/Wagon,11.8 sec ,17.962,
Fiat,500,500L Living/Wagon,10.6 sec ,17.012,
Fiat,500,500L Living/Wagon,10.3 sec ,16.86,
Fiat,500,500L Living/Wagon,16.3 sec ,18.861,
Fiat,500,500L Living/Wagon,16 sec ,18.902,
Fiat,500,500L Living/Wagon,15.4 sec ,18.861,
Fiat,500,500L Living/Wagon,15.1 sec ,18.902,
Fiat,500,500L Living/Wagon,12.7 sec ,17.641,
Fiat,500,500L Living/Wagon,12.5 sec ,17.5,
Fiat,500,500L Living/Wagon,15.7 sec,19.794,
Fiat,Freemont,Freemont,8.4 sec ,14.707,
Fiat,Freemont,Freemont,11.1 sec ,17.5,
Fiat,Freemont,Freemont,11 sec ,17.062,
Fiat,Freemont,Freemont,12.3 sec ,18.228,
Fiat,Tipo,Tipo (356),9.7 sec ,16.809,
Fiat,Tipo,Tipo (356),9.7 sec ,16.653,
Fiat,Tipo,Tipo (356),11.2 sec ,16.86,
Fiat,Tipo,Tipo (356),11.5 sec ,17.405,
Fiat,Tipo,Tipo (356),11.5 sec ,17.405,
Fiat,Tipo,Tipo (356),11.7 sec ,17.962,
Fiat,Tipo,Tipo (356),11.7 sec ,17.688,
Ferrari,Dino,Dino GT4 (208/308),12.516,,
Ferrari,Dino,Dino GT4 (208/308),14.363,,
Fiat,130,130,not known,,
Fiat,130,130,not known,,
Fiat,130,130,not known,,
Ferrari,F355,F355 Berlinetta,4.7 sec ,11.83,
Fiat,500,500 C (facelift 2015),10 sec ,16.706,
Fiat,500,500 C (facelift 2015),12.9 sec ,17.871,
Fiat,500,500 C (facelift 2015),12.9 sec ,18.444,
Fiat,500,500 C (facelift 2015),12.9 sec ,18.096,
Fiat,500,500 C (facelift 2015),12.9 sec ,18.358,
Fiat,500,500 C (facelift 2015),12.9 sec ,17.871,
Fiat,500,500 C (facelift 2015),13.8 sec ,18.272,
Fiat,500,500 C (facelift 2015),10 sec ,15.943,
Fiat,500,500 C (facelift 2015),11 sec ,17.062,
Fiat,500,500 C (facelift 2015),11 sec ,17.26,
Fiat,500,500 C (facelift 2015),11 sec ,17.062,
Fiat,Punto,Grande Punto (199),9.5 sec ,15.943,
Fiat,Punto,Grande Punto (199),10 sec ,16.333,
Fiat,Punto,Grande Punto (199),9.6 sec ,16.279,
Fiat,Punto,Grande Punto (199),8.9 sec ,16.112,
Fiat,Punto,Grande Punto (199),10.8 sec ,16.962,
Fiat,Punto,Grande Punto (199),13.2 sec ,17.962,
Fiat,Punto,Grande Punto (199),13.2 sec ,17.962,
Fiat,Punto,Grande Punto (199),11.9 sec ,17.641,
Fiat,Punto,Grande Punto (199),11.9 sec ,17.641,
Fiat,Punto,Grande Punto (199),13.6 sec ,18.487,
Fiat,Punto,Grande Punto (199),14.5 sec ,18.943,
Fiat,Egea,Egea (356),9.8 sec ,16.86,
Fiat,Egea,Egea (356),9.8 sec ,16.758,
Fiat,Egea,Egea (356),9.8 sec ,16.809,
Fiat,Egea,Egea (356),9.7 sec ,16.653,
Fiat,Egea,Egea (356),11.2 sec ,16.86,
Fiat,Egea,Egea (356),16.653,,
Fiat,Egea,Egea (356),11.8 sec ,17.405,
Fiat,Egea,Egea (356),11.5 sec ,17.405,
Fiat,Egea,Egea (356),12 sec ,17.962,
Fiat,Egea,Egea (356),11.7 sec ,17.688,
Fiat,Egea,Egea (356),11.7 sec ,17.688,
Fiat,127,127,21 sec ,19.023,
Fiat,127,127,18.7 sec ,18.401,
Fiat,127,127,not known,,
Fiat,127,127,not known,,
Fiat,127,127,not known,,
Fiat,127,127,not known,,
Ferrari,488,488 Pista Spider,2.85 sec ,9.39,
Ferrari,F12,F12 Berlinetta,3.1 sec ,9.708,
Fiat,Idea,Idea,11.5 sec ,17.641,
Fiat,Idea,Idea,11.5 sec ,17.452,
Fiat,Idea,Idea,15.5 sec ,18.697,
Fiat,Idea,Idea,15.4 sec ,19.531,
Fiat,Idea,Idea,13.5 sec ,18.444,
Fiat,Idea,Idea,12.2 sec ,18.007,
Fiat,Stilo,"Stilo (5-door, facelift 2006)",15.035,,
Fiat,Stilo,"Stilo (5-door, facelift 2006)",15.711,,
Fiat,Stilo,"Stilo (5-door, facelift 2006)",16.86,,
Fiat,Stilo,"Stilo (5-door, facelift 2006)",16.168,,
Fiat,Stilo,"Stilo (5-door, facelift 2006)",17.112,,
Fiat,Stilo,"Stilo (5-door, facelift 2006)",17.405,,
Fiat,Stilo,"Stilo (5-door, facelift 2006)",12.4 sec ,17.688,
Ferrari,GTO,288 GTO,4.9 sec ,10.811,
Fiat,Fiorino,Fiorino (147),19.72,,
Fiat,Fiorino,Fiorino (147),not known,,
Fiat,Fiorino,Fiorino (147),24 sec ,20.158,
Fiat,Fiorino,Fiorino (147),not known,,
Fiat,Fiorino,Fiorino (147),14 sec ,18.358,
Fiat,Fiorino,Fiorino (147),not known,,
Fiat,Fiorino,Fiorino (147),22.5 sec ,19.261,
Fiat,Fiorino,Fiorino (147),not known,,
Fiat,Fiorino,Fiorino (147),not known,,
Fiat,Fiorino,Fiorino (147),not known,,
Fiat,Fiorino,Fiorino (147),not known,,
Fiat,Fiorino,Fiorino (147),not known,,
Ferrari,F430,F430 Spider,3.7 sec ,10.685,
Ferrari,F430,F430 Spider,4.1 sec ,11.054,
Ferrari,F40,F40 Competizione,8.678,,
Ferrari,360,360 Modena,4.5 sec ,11.51,
Ferrari,360,360 Modena,4.1 sec ,10.934,
Fiat,Fiorino,Fiorino (127),not known,,
Fiat,Fiorino,Fiorino (127),not known,,
Ferrari,Enzo,Enzo,3.65 sec ,9.708,
Fiat,Tipo,Tipo (358) Wagon,10.3 sec ,17.211,
Fiat,Tipo,Tipo (358) Wagon,10.3 sec ,17.162,
Fiat,Tipo,Tipo (358) Wagon,10.1 sec ,17.162,
Fiat,Tipo,Tipo (358) Wagon,10.4 sec ,17.308,
Fiat,Tipo,Tipo (358) Wagon,10.1 sec ,17.162,
Fiat,Tipo,Tipo (358) Wagon,11.7 sec ,17.688,
Fiat,Tipo,Tipo (358) Wagon,10.1 sec ,16.809,
Fiat,Tipo,Tipo (358) Wagon,12.6 sec ,18.052,
Fiat,Tipo,Tipo (358) Wagon,12.3 sec ,18.052,
Fiat,Tipo,Tipo (358) Wagon,10.3 sec ,17.162,
Fiat,Tipo,Tipo (358) Wagon,9.8 sec ,17.112,
Fiat,Tipo,Tipo (358) Wagon,12.9 sec ,18.228,
Fiat,Tipo,Tipo (358) Wagon,12.3 sec ,18.487,
Fiat,UNO,UNO,15.9 sec ,18.613,
Fiat,UNO,UNO,15.9 sec ,18.697,
Fiat,UNO,UNO,8.4 sec ,15.288,
Fiat,UNO,UNO,16 sec ,18.655,
Fiat,UNO,UNO,16 sec ,17.962,
Fiat,Toro,Toro,15.885,,
Fiat,Toro,Toro,16.224,,
Fiat,Toro,Toro,16.86,,
Fiat,Toro,Toro,16.601,,
Fiat,Toro,Toro,16.387,,
Fiat,Toro,Toro,17.308,,
Fiat,Toro,Toro,17.452,,
Ferrari,328,328 GTB,5.5 sec ,12.699,
Fiat,Egea,"Egea Station Wagon (358, facelift 2020)",10.1 sec ,16.706,
Fiat,Egea,"Egea Station Wagon (358, facelift 2020)",13.5 sec ,18.184,
Fiat,Egea,"Egea Station Wagon (358, facelift 2020)",12 sec ,17.688,
Fiat,Doblo,Doblo II Long (facelift 2015),11.3 sec ,17.062,
Fiat,Doblo,Doblo II Long (facelift 2015),12.1 sec ,17.78,
Fiat,Doblo,Doblo II Long (facelift 2015),13.9 sec ,19.222,
Fiat,Doblo,Doblo II Long (facelift 2015),15.4 sec ,19.455,
Fiat,Doblo,Doblo II Long (facelift 2015),13.4 sec ,18.487,
Ferrari,250 GTO,250 GTO,10.811,,
Ferrari,FXX,FXX-K Evo,not known,,
Ferrari,296,296 GTS,2.9 sec ,9.39,
